Draw Number,Main 1,Main 2,Main 3,Main 4,Main 5,Main 6,Supp 1,Supp 2
3959,5,14,21,33,35,42,7,40
3957,5,10,11,12,29,41,13,21
3955,8,18,24,39,41,42,5,16
3953,1,22,24,36,39,42,12,41
3951,6,9,20,25,27,31,2,36
3949,1,11,18,29,35,44,28,38
3947,2,6,8,36,39,45,5,13
3945,17,27,28,32,34,44,8,22
3943,7,8,23,24,27,33,15,41
3941,1,16,21,26,39,41,2,6
3939,9,14,16,18,20,36,7,19
3937,16,18,19,21,22,25,4,41
3935,4,8,10,12,38,39,6,13
3933,5,8,26,27,31,33,11,22
3931,9,29,32,33,37,39,11,27
3929,1,8,12,15,31,42,32,36
3927,16,17,21,27,29,43,37,40
3925,5,10,38,39,40,43,4,24
3923,13,19,20,21,25,37,27,33
3921,18,19,26,27,38,43,15,22
3919,9,11,13,16,17,21,33,38
3917,1,5,12,21,24,45,2,15
3915,8,18,19,36,38,42,4,39
3913,8,10,11,15,26,45,28,37
3911,5,11,15,23,35,45,17,43
3909,3,18,20,24,26,34,32,42
3907,2,9,17,30,33,39,22,41
3905,5,9,14,29,41,43,15,37
3903,23,28,32,33,35,39,5,42
3901,2,6,23,25,26,43,7,9
3899,5,24,25,27,31,38,18,20
3897,7,10,20,24,29,37,32,42
3895,6,18,19,26,30,31,16,25
3893,1,21,22,23,38,44,17,20
3891,3,5,12,14,35,36,15,42
3889,9,13,16,17,32,37,6,14
3887,5,14,15,38,42,45,8,22
3885,3,6,10,34,37,40,15,18
3883,1,2,7,22,34,40,15,26
3881,2,9,10,13,16,25,17,19
3879,9,21,26,29,32,44,2,28
3877,1,3,7,15,44,45,26,34
3875,19,22,24,25,42,43,4,14
3873,5,10,14,16,36,43,18,19
3871,5,15,18,29,31,35,9,36
3869,6,17,19,26,37,38,2,10
3867,1,8,15,20,23,44,11,18
3865,12,14,24,25,35,38,36,39
3863,21,27,29,31,37,40,6,11
3861,2,4,14,15,16,24,18,33
3859,6,11,12,32,40,45,10,20
3857,1,6,18,23,29,43,3,35
3855,1,14,20,25,26,40,3,24
3853,9,10,18,31,35,41,16,26
3851,2,8,12,22,26,45,1,38
3849,7,10,22,25,26,36,30,43
3847,7,14,17,19,24,37,2,23
3845,10,21,25,29,38,40,7,22
3843,6,9,21,33,39,42,19,40
3841,6,12,14,17,31,38,32,34
3839,10,22,28,34,42,45,3,11
3837,13,29,33,35,38,43,15,41
3835,11,12,17,31,42,44,3,19
3833,7,9,10,17,18,38,20,35
3831,6,7,8,17,23,35,29,30
3829,8,15,23,27,43,44,11,35
3827,10,19,23,30,33,39,17,34
3825,26,32,33,35,38,41,27,45
3823,2,4,22,31,34,44,25,27
3821,2,21,29,35,36,45,40,44
